"_id","description"
"6083e1a35487c528bc99ebae","A `monolith’, the likes of which have appeared and vanished in different parts of the world since November, has now emerged in a garden in Ahmedabad city, Gujarat. This is the first appearance of a monolith, a structure made of shiny steel sheets, in India. The triangular prism-shaped structure, around seven feet tall, became an instant hit among city dwellers after it was spotted in a garden on SG Highway on Thursday morning"
"6083e2495487c528bc99ebaf","Pakistan on Saturday resorted to unprovoked ceasefire violation along the Line of Control in the Nowshera sector of Rajouri district in Jammu and Kashmir. The Indian army gave a befitting reply to the ceasefire violations. Prime Minister Narendra Modi laid the foundation stone of the permanent campus of IIM Sambalpur, Odisha on Saturday via video conferencing. ""Our IIMs can act as a bridge between local products and global collaborations. Innovation, integrity and inclusiveness are the mantras for IIM Sambalpur,"" said PM Modi on the occasion."
"6083e2ce5487c528bc99ebb0","he three new central farm laws, billed as turning points in Indian agriculture, ironically, vexed the very farmers whose fortunes they were supposed to turn around. Some 40,000 of them, from Punjab, Haryana and western Uttar Pradesh, laid siege to the national capital in end-November, blocking passenger and goods movement at several border points. The ongoing protests-among the biggest in decades and led by 40 farmers' organisations - have demanded the repeal of the three laws passed by Parliament on September 21. But the Centre says the laws will create markets beyond APMCs (agricultural produce marketing committees) for farm produce, attract private capital and usher in the next revolution in agriculture, which employs half of the country's workforce but contributes only 17 per cent to GDP. The laws, officials argue, are key to fulfilling Prime Minister Narendra Modi's promise of doubling farm incomes by 2022. For the protesters, though, the laws are the first step to ending assured"
"6083e31d5487c528bc99ebb1","Members of the OPEC group of oil producers and their partners will meet via videoconference on Monday to decide on production levels for February, hoping to turn the corner on a difficult year. The OPEC+ ministerial meeting comes after oil consumption tanked in 2020 due to the COVID-19 pandemic and a price war between Saudi Arabia and Russia. Despite a pick up in prices towards the end of last year, the market levels for black gold remain uncertain."
"6083e33f5487c528bc99ebb2","Union Minister Jitendra Singh on Friday said that the move will provide a huge relief, especially to ‘young Central Armed Police Force (CAPF) personnel like CRPF, BSF, CISF and others since disability in performance of duties is generally reported in their case due to constraints of job requirement as well as hostile or difficult work environment’."
"6083e36c5487c528bc99ebb3","Apple is planning a new feature that will allow users to set different notification preferences, such as if the iPhone makes a sound or not."
"6083e3955487c528bc99ebb4","The guidelines issued by AIIMS, ICMR-COVID-19 National Task Force and the Joint Monitoring Group (DGHS) under the ministry stated that tocilizumab (a drug that modifies the immune system or its functioning) may be considered in patients with significantly raised inflammatory markers and not improving despite use of steroids with there being no active bacterial/fungal/tubercular infection."
"6083e4005487c528bc99ebb5","The ministry of civil aviation (MoCA) and Directorate General of Civil Aviation (DGCA) have granted conditional exemption to the Indian Council of Medical Research (ICMR) for conducting a feasibility study of the Covid-19 vaccine delivery using drones in collaboration with Indian Institue of Technology (IIT) Kanpur."
"6083e4255487c528bc99ebb6","Virat Kohli completed his half-century against Rajasthan Royals on Thursday night during the Indian Premier League 2021 match. And how decided to celebrate it is already winning a million hearts on social media."
"6083e4495487c528bc99ebb7","The announcement of actor Salman Khan's big budget film ""Radhe"" having a simultaneous release on the pay-per-view platform Zeeplex, along with its theatrical release on Eid this year, has created a flutter in Bollywood. Is this the first step at reorganising film exhibition and distribution in India, in the era of OTT? More importantly, could such a hybrid release plan make permanent dent in box office collections, if producers make it a habit."
"6083e4665487c528bc99ebb8","Defying severe winds at the Sports Complex Los Arcos here, Deepika, who qualified as the number three seed, displayed some incredible shooting to down German archer Michelle Kroppen in straight sets."
"6083e5145487c528bc99ebb9","Mumbai Indians are through with their Chennai leg of matches, having finished a touch more than a third of their IPL 2021 campaign and enter the middle stage of the tournament. Right now, their middling returns this season - two wins out of five - has left them in a middling position in the points table. And the underlying cause for that is how the middle order has fared."
"609b70c8a0cd5d3d50c5c16d","""The coronavirus strain, first detected in India last year, has been classified by the World Health Organization as a 'variant of global concern'. The World Health Organization (WHO) says that the first phase of the study found that the B.1.617 mutation in this strain is more easily transmitted than other strains and that further research is needed.
According to the World Health Organization, the effects of this strain have been identified in more than thirty countries so far.
Previously, only corona virus strains detected in Britain, South Africa and Brazil were classified as 'internationally concerned strain'"""
"609b71eca0cd5d3d50c5c16e","""As the second wave of corona virus spread in India, millions of Hindu devotees gathered in Haridwar, at the foot of the Himalayas, for the Kumbh Mela festival. At the time, many feared that the festival would spread the corona virus in India.

News is coming in that that fear is now coming true.There are reports from many parts of India that many of the returnees to the Kumbh Mela festival are suffering from corona and that the corona virus may have spread through them."""
"609b7287a0cd5d3d50c5c16f","""The number of people suffering from corona infection is increasing day by day in India. More than 4 lakh numbers have been reported in the last few days. Up to 4,000 people die every day.

This is government data. However this number could increase five to six times if more tests are performed or deaths are calculated without omission.

Let us first look at the worst affected states of Maharashtra, Delhi, Uttar Pradesh and Bihar. Then we will see how the epidemic has spread from the north to the north eastern states."""
"609b72c9a0cd5d3d50c5c170","""Mucormycosis is a fungal infection. Our environment is full of particles that produce fungi around us. These are the things that cause fungi on food items like bread. They do not cause infections even if they get into everyone's body. The reason is the resistance in the body.

Fungi attack us when our body's immune system is weakened. The body's ability to fight fungi decreases while taking medication for another illness. The ICMR system reports that a fungal infection occurs at that time."""
"609b734ca0cd5d3d50c5c171","""At least 40 bodies have been found floating on the banks of the Ganges in the Chausa cemetery in the Chausa area of ​​Bihar's Buxar district. The local administration confirmed this in an interview with the BBC. But local journalists said they saw more bodies than that.

In this regard, the pictures released in the county are shocking. The corpses could also be seen preying on the animals there.

Ashok Kumar, Sousa Regional Development Officer, told the BBC: """"30 to 40 dead bodies have been found in the Ganges. These bodies may have been floating from Uttar Pradesh. said."""
"609b73b8a0cd5d3d50c5c172","""The number of people suffering from corona infection is increasing day by day in India. More than 4 lakh numbers have been reported in the last few days. Up to 4,000 people die every day.

This is government data. However this number could increase five to six times if more tests are performed or deaths are calculated without omission.

Let us first look at the worst affected states of Maharashtra, Delhi, Uttar Pradesh and Bihar. Then we will see how the epidemic has spread from the north to the north eastern states."""
"609b75a4a0cd5d3d50c5c173","""The second wave of the corona virus is ravaging India. According to government data, more than 4 lakh infections are diagnosed every day and more than 4,000 people die.

Leading mass media around the world have criticized the Indian government for its poor handling of the disaster.

Lancet, an internationally acclaimed medical journal, joins the ranks.

The Lancet magazine wrote an editorial in its latest issue on how the Narendra Modi government paved the way for the second wave of the corona virus and how it handles it badly."""
"609b761fa0cd5d3d50c5c174","""When millions of devout Hindus gathered last month in the Himalayan town of Haridwar to participate in the Kumbh Mela festival even as India battled a devastating second wave of coronavirus, many feared that it would turn out to be a """"super-spreader event"""".

Those fears, it now seems, are coming true, with reports of Kumbh returnees testing positive - and possibly spreading the infection - coming from many parts of the country.

When Mahant Shankar Das arrived in Haridwar on 15 March to participate in the festival, cases of Covid-19 were already rising in many parts of India.

On 4 April, just four days after the festival officially began, the 80-year-old Hindu priest tested positive for Covid-19 and was advised to quarantine in a tent."""
"609b7656a0cd5d3d50c5c175","""""""Modi leads India out of a lockdown and into a Covid apocalypse,"""" declared a recent headline in the UK Sunday Times.

The Australian newspaper re-published the story with a scathing summary: """"Arrogance, hyper-nationalism and bureaucratic incompetence have combined to create a crisis of epic proportions, critics say, as India's crowd-loving PM basks while citizens literally suffocate.""""

It earned a rebuke from India, but there's no denying the fact that Prime Minister Narendra Modi's cherished image has taken a bad hit."""
"609b768ca0cd5d3d50c5c176","""The World Health Organization (WHO) has classified the coronavirus variant first found in India last year as a """"variant of global concern"""".

It said preliminary studies show the B.1.617 mutation spreads more easily than other variants and requires further study.

The variant has already spread to more than 30 countries, the WHO says.

Three other variants from the UK, South Africa and Brazil have been given the same designation."""
"609b770fa0cd5d3d50c5c177","""In early March, India's health minister Harsh Vardhan declared the country was """"in the endgame"""" of the Covid-19 pandemic.

Mr Vardhan also lauded Prime Minister Narendra Modi's leadership as an """"example to the world in international co-operation"""". From January onwards, India had begun shipping doses to foreign countries as part of its much-vaunted """"vaccine diplomacy"""".

Mr Vardhan's unbridled optimism was based on a sharp drop in reported infections. Since a peak of more than 93,000 cases per day on average in mid-September, infections had steadily declined. By mid-February, India was counting an average of 11,000 cases a day. The seven-day rolling average of daily deaths from the disease had slid to below 100."""
"609b77cba0cd5d3d50c5c178","""The region around Varanasi, one of the holiest cities in the world for Hindus, is among the worst affected by the second wave of coronavirus sweeping India.

Many angry citizens of the region, in the northern state of Uttar Pradesh, are now asking where their MP, Narendra Modi - India's prime minister - is in their hour of need.

India's devastating second wave has pushed the country's total number of infections to 20 million and the death toll to more than 220,000. In Varanasi, with the health infrastructure swamped, patients can no longer find hospital beds, oxygen, or ambulances, and getting a Covid test can take up to a week. In the past 10 days, most pharmacies have run out of basic medicines like vitamins, zinc and paracetamol. """
