_id,description
"60b476639d98f154ec217e8f"," ENTERTAINMENT WEEKLY is the first to know about the best (and worst) in entertainment. Your free time is precious – we make sure you make the most of it.

PRIDE 2021 Lil Nas X, Mj Rodriguez, Lena Waithe, Bowen Yang, and more spearhead this year’s celebration of LGBTQ icons and rising stars. SUMMER TV Marvel heats up with Loki, the Power Universe expands with Raising Kanan, Ted Lasso shoots for glory in season 2, and more summer picks."
"60b476979d98f154ec217e90"," Cosmopolitan isn't just a magazine, it's a religion. Now in its 17th year in India, Cosmopolitan is the world's largest selling magazine, with 200 million readers annually in a 100 countries. It is published in over 26 languages, but at its core, it speaks only one – that of fun fearless females globally. Another language it speaks? That of stupendous success! Each month Cosmopolitan features some of the biggest celebrity names on its cover; it has launched the glamour careers of more gorgeous girls than we can count. Top Indian actresses, models and singers have been on the cover of Cosmopolitan before the rest of the world recognised their spark-because we know a fun fearless female when we see one! When we put someone on the Cosmopolitan cover, we acknowledge her right to be counted among the best in the business.

Love, sex, relationships and men are at the heart of Cosmopolitan, but there’s also style and beauty, health and fitness, work and leisure, celebrity and entertainment. Perhaps most unique is the way in which Cosmopolitan blends glamorous and gutsy, intimate and open-minded. It brings women across the world in countries as diverse as Finland, South Africa and India, together on a common platform.

Cosmopolitan is about celebrating women; it supports, encourages, entertains, amuses, inspires and uplifts-helping its readers be the very best that they can be. For a girl who thinks of herself as fun and fearless, there's simply no other magazine.

Highlights of Cosmopolitan India magazine March 2021"
"60b476ea9d98f154ec217e91"," For over five decades now, Filmfare has been the official handbook on everything Bollywood for the diehard fan, which, in India is almost everyone. It is also a magazine that film stars think of first and trust most when they want to open up to their fans. With its exclusive interviews, classy photo-shoots, insider stories, sneak peeks, Bollywood fashion coverage, movie reviews and special features, Filmfare captures Bollywood's biggest stars and divas at their most colourful & candid best. 
As India's No. 1 entertainment magazine, Filmfare has through the years, turned from a monthly into a fortnightly, launched an edition devoted to the Southern film industry and gained a readership of more than 2 million fans! There is no better evidence of Filmfare's hold on the industry than the Filmfare Awards.

The heroines who reign over box-office, The drama which occurred at the Joy Filmfare Awards Bangla 2020"
"60b47b069d98f154ec217e92","NEWSWEEK delivers a powerful combination of news, culture and ideas, from a fresh point of view--bold, nimble and insightful. Offering award-winning reporting and commentary from some of the top writers in the world, NEWSWEEK is the perfect tool for the voracious consumer of information. It’s designed to make you Smarter, Faster.

A Staggering Price The average woman could lose nearly $800,000 in lifetime income due to the pandemic, an exclusive Newsweek analysis finds. BY EMILY PECK The World’s Best Smart Hospitals 2021 Newsweek and data firm Statista team up to find the globe’s most technologically advanced institutions."
"60b47cce9d98f154ec217e93","Forbes is the world’s leading business magazine and since its inception in 1917, Forbes has stood, unwavering, for one overriding principle: the unshakable belief in the power of free enterprise.
Forbes mission has always been clear and unchanging: to provide insights and information that ensure the success of the world’s most influential. Faithfully fulfilling that promise is what draws today's most influential business leaders to Forbes. These high-powered decision-makers represent a community of like-minded individuals bound by their unshakable belief in the spirit of free enterprise. They contribute to it, profit from it and their lives are better for it. For them, Forbes is the quintessential Capitalist Tool.
True to its pedigree, Forbes India has donned on the role of the drama critic to Indian business. Since its launch in 2009, the magazine has helped readers connect the dots, form patterns and see beyond the obvious, giving them a perspective beyond the obvious.

The cover story in this edition is about Sputnik, the third vaccine to get the go-ahead from the Drug Controller of India for emergency use. At least five Indian pharma firms are on track to manufacture 852 million doses of the controversial Russian vaccine. The Hetero Group, for instance, has committed to manufacture 100 million doses. However, concerns around the effectiveness of Sputnik V and the single-dose Sputnik Light remain a cause of worry. Having said that, it is only expected to add to India’s vaccine armoury. That apart, this issue is also a ‘Sustainability Special’ and has stories on efforts across industries to make the planet greener"
"60b47d1b9d98f154ec217e94","India Today is an Indian weekly news magazine published by Living Media India Limited, in publication since 1975 based in New Delhi. India Today is also the name of its sister-publication in Hindi. Aroon Purie has been the magazine's editor-in-chief since 1975, a position he has held continuously for the last three decades.

It is part of the India Today group, also founded in 1975, which now includes 13 magazines, 3 radio stations, 4 TV channels, 1 newspaper, a classical music label (Music Today), book publishing, and India's only book club. With the publication of its 30th Anniversary issue in December 2005, the magazine, which had commenced publication in 1975 with a circulation of 5,000 copies, has published five editions and currently has a circulation of over 1.1 million copies with a readership of over 5.62 million.

Highlights of India Today –7th June 2021 issue: The cover story ‘The Age of Fear’, looks at the worrying new fallout of the second wave as death and illness stalk our homes and cities with increased ferocity. The issue also highlights how children are increasingly stressed because schools and social lives have moved online."
"60b47d609d98f154ec217e95","BUSINESS TODAY, is the largest-circulated business fortnightly in India. It is the best report of the business topography of the newly liberalised India. As the wave of change sweeps business, economy and society like never before, BUSINESS TODAY has ensured that its readers have all the necessary upgrades to challenge tomorrow. It takes its readers deeper to give a complete understanding of the world of business.

Ever since its inception in 1992, it has set one benchmark after another in business reporting. It was the first to do serious reporting on management theories. And then again, it is the first to bring a whole new genre of business journalism more upclose and more incisive. Today, BUSINESS TODAY commands the highest circulation and readership among all business magazines in India.

Highlights of Business Today 13th June 2021, issue: The latest issue of Business Today magazine carries a cover story On a Weak Base • Equity markets are buoyant in spite of mayhem in the real world. But the risks building up are too big to be ignored. To know more read On a Weak Base. • Domestic equity markets have shown resilience. Here are five sectors that will do well in spite of the Covid-19 mayhem. Find out more at Future Winners. • As FPIs turn cautious about the Indian market, Retail investors are stepping in. What's the road ahead like? To know more read Trading Places. • A sanitised financial portfolio is the first thing you must aim for to tackle the pandemic. Here are some things you can do. Read more at Sanitising Your Portfolio. • After a prolonged downturn, India's steel industry is set for good times. But it may have to expand quickly to meet the expected spike in demand To know more read Back on Growth Path. • The National Bank for Financing Infrastructure and Development promises to address the capital needs of the cash-starved infrastructure sector, but execution remains key. Find out more at A Bank for Infra. All this and much more in the June 13, 2021, issue of Business Today. So, buy now!"
"60b47dbf9d98f154ec217e96"," Fortune is one of the most respected business magazines in the world. It is known for its unrivaled access to world’s most influential leaders and decision-makers. In a world of business long on information and short on time, Fortune stands out with trusted insight, deep reporting and provocative story telling. Few publications cover the world of business with as much depth, breadth, wisdom, and panache. That’s why Fortune is recognized as ‘the best magazine in the world that just happens to be about business’.

Fortune 500 is perhaps the best-known brand in business journalism and the ultimate hallmark of corporate success.

Launched in India in October 2010, Fortune India retains the spirit of the global brand with respect to thought leadership and practice from across the world every month while adding an Indian dimension.

It is the only truly global business magazine dedicated to the global success of Indian business leaders, offering actionable insights to propel their businesses. Since Oct 2010, we have changed the way business magazines deliver content.

As India battles the second, deadly, wave of the Coronavirus which has caused havoc across the country and stretched its healthcare system to the limit, companies in the sector have come to the fore, literally as lifesavers, working tirelessly to ensure the attack of the virus is countered with every measure at their disposal. Fighting this battle to save lives are several Family-Owned Businesses across the health-care industry. If the Reddys of Apollo Hospitals are ensuring patients get care in their facilities, vaccine makers like the Poonawallas of Serum Institute of India (SII) and the Ellas of Bharat Biotech are at the forefront as India rolls out its liberalised vaccination policy from May 1. Equally important are companies like diagnostics chain Metropolis Healthcare and the Godrej Group, which is supporting the vaccination effort with its smart refrigeration systems. There are more examples: Cadila, Cipla, Dr. Reddy’s, Wockhardt… the list is long. In our cover story this month, we take a close look at how Bharat Biotech, run by Krishna Ella and his wife Suchitra, developed its home-grown vaccine Covaxin—jointly with the Indian Council of Medical Research—in double quick time and, despite challenges, managed to fight shoulder to shoulder with SII in aiming to inoculate India’s massive population."
"60b482729d98f154ec217e97","CRUISING HEIGHTS is India's best known monthly aviation magazine with equal interests in air cargo, travel and tourism. In its four years of existence, Cruising Heights has received accolades from the Minister of Civil Aviation, Aviation CEOs, Airport Developers, Travel Agents Associations and others for its path-breaking stories.One of the first true aviation magazines of the country, Cruising Heights was started with the idea of supporting professionals in the airline business to make informed choices on a variety of subjects from ground handling to cargo to airport development-all of which are transforming the Indian aviation scene in mind-boggling ways. Later, due to the interest it generated and in response to demands from the travel and tourism industry stakeholders we have targeted the general reader-the educated Indian who is keen to be an informed Indian-to know what's happening in the business.

Cruising Heights’ April-May 2021 issue focuses on the latest in the world of aviation. The Cover Story is on Adani’s airport venture. Now that the Adani group has got control of seven airports – its crown jewel the Mumbai International Airport and six other important airports – the main task will be to boost their infrastructure to make them profitable. Almost all the seven airports are hamstrung – runways not long enough, inadequate facility in terminals, no parking bays, etc. The story takes a close look at the work cut out for the Adani group. The other important story is about start-up airlines in the country and the problems they face with the established carriers who seem bent on killing any competition. Cruising Heights also takes a look at the Jet Airways rebirth saga and the first flight of Dassault Aviation’s Falcon6X. The cargo section focuses on vaccine transportation and how the airports are handling the loads. Plus, all our regular features."
"60b482af9d98f154ec217e98"," Launched in July 1998, Outlook Money has relentlessly worked as your money manager, helping you invest well, borrow wisely and spend smartly. The Outlook Money magazine has been advising its readers on finance, investing, real estate, smart savings, insurance, healthcare, travel, besides buying and maintaining cars. Through our stories we attempt to give you specific, actionable tips that you can use to make your money grow. It is these efforts of 16 years that has helped us grow from being India’s first personal finance magazine to India’s No. 1 personal finance magazine.

The Wheel of Fortune The automobile industry is fast driving out of the blues and experts foresee strong Q4 earnings. Is it the right time to invest in auto stocks? Settle Your SCORE with Broke Brokers Now investors can file a complaint, track redressal proceedings and seek advice online Covered, Yet Battered A large chunk of insurance claims suffer rejection every year. You have the right to appeal against the rejection Beyond the Raging Waves The second Covid wave makes most investment options uncertain. Experts advise caution, alert and restraint while making investments Borrowing against the Blues Looking into the positives and negatives of gold loan and loan against property to address emergencies"
